"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Vintage_D_Love","#TeamLeo All about my #LSUBayouBengals #NOSaints #NOPelicans #LADodgers #NJDevils. I love everything about the South no matter where I am! IG: vintage_d_love",85580,2115,3821,2213,NA,"D. Love",2011-05-03 02:23:31,FALSE,FALSE,"Vintage_D_Love","Louisiana's Finest ","en","292081397",30,FALSE,"http://pbs.twimg.com/profile_images/820371434807685122/desaLrDD_normal.jpg"
"OndoDimitri","Retrouvez toutes mes publications",658,323,13,273,"https://t.co/AoEEZodQwR","Dimitri ONDO",2016-01-28 19:20:55,FALSE,FALSE,"OndoDimitri","Estuaire, Gabon","fr","4858286770",5,FALSE,"http://pbs.twimg.com/profile_images/692828263270457344/dOeXclGU_normal.jpg"
"dpechag","noticia de videojuegos consolas y m√°s",3684,41,4,54,NA,"Dpechag",2016-09-15 20:59:24,FALSE,FALSE,"dpechag","Bogot√°, D.C., Colombia","es","776525847750643717",11,FALSE,"http://pbs.twimg.com/profile_images/821774459300417537/6xllw4nv_normal.jpg"
"jxKT5gIEpZGKiaU","",272,0,240,51,NA,"Audrey Rutherford",2017-02-03 11:20:17,FALSE,FALSE,"jxKT5gIEpZGKiaU","","ru","827476797805690881",0,FALSE,"http://pbs.twimg.com/profile_images/829290353882693632/rE7arL5I_normal.jpg"
"techno1log","",64791,1625,63351,52,NA,"Technology",2015-11-22 17:07:18,FALSE,FALSE,"techno1log","","en","4325008638",895,FALSE,"http://pbs.twimg.com/profile_images/668476880547262464/G9xfFtwX_normal.jpg"
"U9nYoMW2Y1f4oSV","",461,17,406,109,NA,"–û–ª—è –ü–∞–Ω–æ–≤–∞",2017-01-24 14:46:50,FALSE,FALSE,"U9nYoMW2Y1f4oSV","","ru","823904900132147201",0,FALSE,"http://pbs.twimg.com/profile_images/824659197535158272/RhHcY_6X_normal.jpg"
"Wnc5ieZ5pQOdp2G","",555,15,457,151,NA,"–°–≤–µ—Ç–ª–∞–Ω–∞ –õ–∞–ø—Ç–µ–≤–∞",2016-11-23 19:41:09,FALSE,FALSE,"Wnc5ieZ5pQOdp2G","","ru","801510920597995524",0,FALSE,"http://pbs.twimg.com/profile_images/823316351062339589/yT8_isTr_normal.jpg"
"Js2odvvnJdvAcr2","",597,27,493,151,NA,"–Æ–ª–∏—è –ê—Ö–º–µ—Ç—à–∏–Ω–∞",2016-12-03 02:51:03,FALSE,FALSE,"Js2odvvnJdvAcr2","","ru","804880597378174976",2,FALSE,"http://pbs.twimg.com/profile_images/823316484021714949/sUVHDtbm_normal.jpg"
"Clem0100","",34,3,0,82,NA,"Clement Yau",2016-10-13 19:14:10,FALSE,FALSE,"Clem0100","","en","786646226594893824",3,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png"
"lisdiomortman11","",1337,75,885,276,NA,"Anna Gibson",2016-11-26 00:19:51,FALSE,FALSE,"lisdiomortman11","","ru","802305832675319808",8,FALSE,"http://pbs.twimg.com/profile_images/802713167465947136/NzGquysF_normal.jpg"
"tweetsocialnews","Tweet Social News is the network of https://t.co/xFyNt1xX1w 321 536-3485",27970,219097,1,89940,"https://t.co/xFyNt1xX1w","Tweet Social News",2015-08-10 23:10:05,FALSE,FALSE,"tweetsocialnews","","en","3311888438",960,FALSE,"http://pbs.twimg.com/profile_images/721501487675809792/oG9TjtJ8_normal.jpg"
"artyom4zreus","",519,29,421,137,NA,"–ú–∞—Ä–∏—è –°—Ç–µ–ø–∞–Ω–æ–≤–∞",2016-10-22 03:52:08,FALSE,FALSE,"artyom4zreus","","ru","789675681479360512",3,FALSE,"http://pbs.twimg.com/profile_images/822811458375401474/uVZjODON_normal.jpg"
"NeeNeeSprint","CEO-Sprint-Downtown Chicago. #1 Mentality #GettingBetterEveryDay 16x Sprint Elite Winner/ 3X Pinnacle Winner/ DM of Year 2015/ Pop Warner Football Coach",7322,826,6244,544,"https://t.co/KFdvZUVA3U","Neel Mehra",2015-01-05 15:06:08,FALSE,FALSE,"NeeNeeSprint","Chicago, IL","en","2962216588",36,FALSE,"http://pbs.twimg.com/profile_images/810708904556589056/cnm_VeLh_normal.jpg"
"5gyipRqEQvsQ6r4","",267,3,227,53,NA,"Faith Grant",2017-02-04 05:42:57,FALSE,FALSE,"5gyipRqEQvsQ6r4","","ru","827754293952290816",0,FALSE,"http://pbs.twimg.com/profile_images/829290282881527808/nYcb18GM_normal.jpg"
"3GaLuXXXQxkaQMg","",272,2,256,61,NA,"Una Wallace",2017-01-26 08:33:01,FALSE,FALSE,"3GaLuXXXQxkaQMg","","ru","824535600778743808",0,FALSE,"http://pbs.twimg.com/profile_images/829289974264639488/Bm17mr0q_normal.jpg"
"Ssalas6398","Sc- porfavor98 Ig:Ssalas98",8153,367,7693,296,NA,"Ssalas",2015-04-09 03:16:50,FALSE,FALSE,"Ssalas6398","Vidor, TX","en","3145521174",3,FALSE,"http://pbs.twimg.com/profile_images/830632183391981568/fqS8yFb7_normal.jpg"
"coltsguy","I tweet, I travel, I make friends.....",5077,276,20,219,"https://t.co/4GLGapnkpT","Jeffrey Allen",2009-07-07 18:21:47,FALSE,FALSE,"coltsguy","Central, PA","en","54631953",16,FALSE,"http://pbs.twimg.com/profile_images/468569761065230337/FbhdUtyo_normal.jpeg"
"upwithmike","",118070,1721,22392,2289,NA,"Mike in the mitten",2011-12-16 13:12:43,FALSE,FALSE,"upwithmike","","en","438327001",278,FALSE,"http://pbs.twimg.com/profile_images/3289471198/bb6fbee5d4a183c70d7341e3dbc51699_normal.jpeg"
"teEZdXvmI1WrLKS","",266,3,248,63,NA,"Caroline Ellison",2017-01-31 02:22:52,FALSE,FALSE,"teEZdXvmI1WrLKS","","ru","826254390298279937",0,FALSE,"http://pbs.twimg.com/profile_images/829277160653340674/b5sDE-Q8_normal.jpg"
"princess_bakry","",243,21,731,20,NA,"Mariam Bakry",2014-05-30 12:08:57,FALSE,FALSE,"princess_bakry","","en","2534957629",2,FALSE,"http://pbs.twimg.com/profile_images/733386464311005185/czh99_t5_normal.jpg"
"xqsXPi1wDefg456","",258,5,261,61,NA,"Michelle Welch",2017-01-27 10:36:41,FALSE,FALSE,"xqsXPi1wDefg456","","ru","824929112443740160",0,FALSE,"http://pbs.twimg.com/profile_images/829289955130228737/tqYx3e_u_normal.jpg"
"relevantspur","A freedom loving American! 110% Trump! Deplorable, humbled & thankful. God is good.",5605,444,28,829,NA,"RelevantSpur Ì†ºÌ∑∫Ì†ºÌ∑∏",2016-11-10 03:21:38,FALSE,FALSE,"relevantspur","","en","796553375282319360",48,FALSE,"http://pbs.twimg.com/profile_images/811400696180281345/DrxFFanr_normal.jpg"
"bKQNO6hUDJoomaX","",452,22,408,112,NA,"–ê–Ω–∞—Å—Ç–∞—Å–∏—è –ú–∞–∫–µ–µ–≤–∞",2017-01-24 11:45:24,FALSE,FALSE,"bKQNO6hUDJoomaX","","ru","823859243279380485",1,FALSE,"http://pbs.twimg.com/profile_images/824659439957450752/q_q3aG1M_normal.jpg"
"KvCM0GpNVoS73H2","",270,4,220,54,NA,"Ava Churchill",2017-01-27 16:52:45,FALSE,FALSE,"KvCM0GpNVoS73H2","","ru","825023753524424705",0,FALSE,"http://pbs.twimg.com/profile_images/829277165996875777/Xjgn8Tse_normal.jpg"
"egorjtpanov","",577,23,495,151,NA,"–õ–∏–∑–∞ –ê–ª–µ–∫—Å–∞–Ω–¥—Ä–æ–≤–Ω–∞",2016-10-22 06:12:43,FALSE,FALSE,"egorjtpanov","","ru","789711059414228993",3,FALSE,"http://pbs.twimg.com/profile_images/822811609911459840/qVpydh2X_normal.jpg"
"TheRealUgom","Tax Professional. Bookkeeping & Tax Preparation:  US and Canadian Taxes",16518,301,5259,368,NA,"Ugochukwu K Madukwe",2016-06-03 23:37:14,FALSE,FALSE,"TheRealUgom","Mission, British Columbia","en","738877233243119617",33,FALSE,"http://pbs.twimg.com/profile_images/743358019908435970/Uk-KTFxQ_normal.jpg"
"ehrlichmedia","Newspaper, magazine and online media publisher. Pubisher's representatives.",39270,564,1373,201,NA,"ehrlichmedia",2008-09-13 18:38:44,FALSE,FALSE,"ehrlichmedia","Chappaqua NY and Redlands CA","en","16274563",366,FALSE,"http://pbs.twimg.com/profile_images/1661931470/_83201-logo_normal.jpg"
"J5UmUqznRswwQSr","",267,6,256,62,NA,"Sue McGrath",2017-01-31 07:19:32,FALSE,FALSE,"J5UmUqznRswwQSr","","ru","826329047898525696",0,FALSE,"http://pbs.twimg.com/profile_images/829277170761613312/gFT9pzCl_normal.jpg"
"Pg3tPpCMujEeJPd","",269,2,238,51,NA,"Megan Greene",2017-02-03 03:08:10,FALSE,FALSE,"Pg3tPpCMujEeJPd","","ru","827352953824567298",0,FALSE,"http://pbs.twimg.com/profile_images/829290337399140352/5YhENb8n_normal.jpg"
"joeyisondat","FUCK EVERYBODY #MiA #504 #LONB",17940,929,11122,489,NA,"BUBBA",2013-12-29 02:34:39,FALSE,FALSE,"joeyisondat","Florida, USA","en","2249233611",8,FALSE,"http://pbs.twimg.com/profile_images/740335740110917632/zddpYcwb_normal.jpg"
"dannymcgowan","Restaurant Consultant",4358,53580,4,19515,NA,"Dan McGowan",2009-02-19 13:13:54,FALSE,FALSE,"dannymcgowan","Chicago, Illinois","en","21296603",56,FALSE,"http://pbs.twimg.com/profile_images/511343266827358208/p0Opr83X_normal.jpeg"
"nui5SdzhKmZg7V7","",266,2,246,66,NA,"Jan Wilkins",2017-02-01 07:42:06,FALSE,FALSE,"nui5SdzhKmZg7V7","","ru","826697115208470529",0,FALSE,"http://pbs.twimg.com/profile_images/829278269035913216/FrCpBYae_normal.jpg"
"maisie2shooz","Dealing with stuff.",7143,68,4028,40,NA,"M Collins",2011-12-19 20:19:14,FALSE,FALSE,"maisie2shooz","Brighton","en","441165546",23,FALSE,"http://pbs.twimg.com/profile_images/671321402713186304/vZfhm0Bo_normal.jpg"
"Ed2Rmqhr77jqQjS","",285,4,207,54,NA,"Heather Greene",2017-01-31 06:04:08,FALSE,FALSE,"Ed2Rmqhr77jqQjS","","ru","826310074658197504",0,FALSE,"http://pbs.twimg.com/profile_images/829277213963014144/QElViXBJ_normal.jpg"
"KuuriNidoran","Always open to talk about Skullgirls!
Male.",8892,184,29297,642,NA,"Doublewide",2015-10-31 04:30:37,FALSE,FALSE,"KuuriNidoran","","en","4076003551",31,FALSE,"http://pbs.twimg.com/profile_images/828385850731880450/dU9yV5QT_normal.jpg"
"CbzLIzOmCmKBu5X","",271,5,224,54,NA,"Kylie Allan",2017-01-31 04:12:54,FALSE,FALSE,"CbzLIzOmCmKBu5X","","ru","826282081110020097",0,FALSE,"http://pbs.twimg.com/profile_images/829277181092167680/fPIEYgDv_normal.jpg"
"shitalmanga","",42711,297,2765,307,NA,"shital manga",2010-07-20 16:18:44,FALSE,FALSE,"shitalmanga","uk","en","168717139",137,FALSE,"http://pbs.twimg.com/profile_images/828707822632390656/woXpUtiy_normal.jpg"
"gWcffhd5gMHVcI8","",453,15,378,110,NA,"–î–∏–∞–Ω–∞ –õ–∞–ø–æ—á–∫–∞",2017-01-24 09:20:48,FALSE,FALSE,"gWcffhd5gMHVcI8","","ru","823822851832692736",1,FALSE,"http://pbs.twimg.com/profile_images/824659628629843968/mFh_H6gF_normal.jpg"
"twittFliy","Stay positive :)",130216,4050,123332,1578,NA,"John",2015-08-24 18:48:20,FALSE,FALSE,"twittFliy","","en","3438261849",819,FALSE,"http://pbs.twimg.com/profile_images/635931039215583232/NLUpEzNY_normal.jpg"
"DvlynScott","Psalm 126:3 | 2 Corinthians 9:7 | I have diabetes | If you think I'm an idiot, the line starts behind Callie Angell",45372,1005,43140,935,NA,"Rad Dad",2010-08-23 21:59:03,FALSE,FALSE,"DvlynScott","Tulsa, OK","en","182121951",10,FALSE,"http://pbs.twimg.com/profile_images/809964952828149760/g2pIz5vt_normal.jpg"
"E3rfuBykF2RTZcx","",417,14,395,105,NA,"–¢–∞–º–∞—Ä–∞ –ü–µ—Ç—Ä–æ–≤–∞",2017-01-24 09:41:41,FALSE,FALSE,"E3rfuBykF2RTZcx","","ru","823828107635396609",0,FALSE,"http://pbs.twimg.com/profile_images/824659602272821248/Dz3Kqhis_normal.jpg"
"petrryabovxhn","",579,21,487,149,NA,"–î–∞—à–∫–∞ –ú–æ—Ä–æ–∑–æ–≤–∞",2016-10-22 04:13:41,FALSE,FALSE,"petrryabovxhn","","ru","789681102625517568",3,FALSE,"http://pbs.twimg.com/profile_images/822811427777941505/Lla3hLvO_normal.jpg"
"TomsonSonya","When you start thinking a lot about your past, it becomes your present and you can't see your future without it",550,395,192,1301,NA,"sonya tomson",2016-04-24 00:02:30,FALSE,FALSE,"TomsonSonya","","en","724025686399279105",1,FALSE,"http://pbs.twimg.com/profile_images/724027325856276480/8qJlKUue_normal.jpg"
"lynnlikestweets","justin.       saw him 08-10-2016Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏≥Ì†ΩÌ∏ä",603,141,152,632,NA,"LP‚ùå",2013-06-19 18:44:54,FALSE,FALSE,"lynnlikestweets","","en","1531642278",1,FALSE,"http://pbs.twimg.com/profile_images/831949435873665024/X3ZkS0i8_normal.jpg"
"aZY1iNzFvmbl2oc","",466,12,376,109,NA,"–õ–∞—Ä–∏—Å–∞ –®–∞–±–∞–Ω–æ–≤–∞",2017-01-23 17:16:31,FALSE,FALSE,"aZY1iNzFvmbl2oc","","ru","823580183164661764",1,FALSE,"http://pbs.twimg.com/profile_images/824659227109195776/TUS9C44r_normal.jpg"
"Carolineui3Mat","",1150,72,956,318,NA,"Maria Stewart",2016-12-19 11:32:50,FALSE,FALSE,"Carolineui3Mat","","ru","810810115213377537",11,FALSE,"http://pbs.twimg.com/profile_images/810858920378060800/1OARFvXH_normal.jpg"
"towHcUwytiR6qu2","",452,23,374,104,NA,"–ê–Ω—Ç–æ–Ω–∏–Ω–∞ –í–æ–¥–æ–Ω–∞–µ–≤–∞",2017-01-24 10:23:27,FALSE,FALSE,"towHcUwytiR6qu2","","ru","823838618145947648",0,FALSE,"http://pbs.twimg.com/profile_images/824659120129277953/15HMTnEi_normal.jpg"
"4million4peace","Everything=absurd. Laughter=universal. I Tweet about #Sports #PopCulture to explore there influences on society #VoiceActor #VoiceOver #SportsAnthropology",32151,2000,15063,3715,NA,"DoctorRobert333",2009-12-10 04:31:25,FALSE,FALSE,"4million4peace","Globally Connected","en","95823459",79,FALSE,"http://pbs.twimg.com/profile_images/831202101887954946/c6zvFPHU_normal.jpg"
"pyotrvor43xn","",1122,51,970,275,NA,"–ï–≤–≥–µ–Ω–∏—è –£—Å–æ–≤–∞",2016-10-22 02:20:05,FALSE,FALSE,"pyotrvor43xn","","ru","789652515495223296",3,FALSE,"http://pbs.twimg.com/profile_images/822811248928628740/n2UpWzBx_normal.jpg"
"RandallGoulding","Our expertise includes bringing companies public in creative ways, including the utilization of our unique and exclusive Rent-a-Pubco program.",29805,52746,0,8229,"https://t.co/JxCcu6JvyU","Securities Counselor",2015-05-05 01:04:12,FALSE,FALSE,"RandallGoulding","North Chicago, IL/ Washington ","en","3185728742",1106,FALSE,"http://pbs.twimg.com/profile_images/595415002909138944/LkSBYFXm_normal.png"
"LFYuogOtwfu4VvC","",425,14,366,114,NA,"–Æ–ª—è –ú–æ–ª—á–∞–Ω–æ–≤–∞",2017-01-24 14:28:14,FALSE,FALSE,"LFYuogOtwfu4VvC","","ru","823900220656353280",2,FALSE,"http://pbs.twimg.com/profile_images/824659239000014848/mB92Kx8U_normal.jpg"
"7QySlGDOBUsJcsW","",431,23,409,110,NA,"–ú–∞—Ä–∏—è –ò–≤–∞–Ω—á–µ–Ω–∫–æ",2017-01-24 09:33:15,FALSE,FALSE,"7QySlGDOBUsJcsW","","ru","823825985355137028",0,FALSE,"http://pbs.twimg.com/profile_images/824659613555523584/Ce2CTcbr_normal.jpg"
"ULuO6cP8qT6WgoP","",458,20,386,112,NA,"–ú–∞—Ä–∏–∞–º –ü–µ—Ç—Ä–æ–≤–∞",2017-01-24 09:38:10,FALSE,FALSE,"ULuO6cP8qT6WgoP","","ru","823827223371280384",2,FALSE,"http://pbs.twimg.com/profile_images/824659213695778816/xq_qi4bi_normal.jpg"
"Kingdomkey23","",3338,32,96,149,NA,"Alex",2010-07-06 18:34:32,FALSE,FALSE,"Kingdomkey23","","en","163558491",5,FALSE,"http://pbs.twimg.com/profile_images/685548235457490946/qOISu3em_normal.jpg"
"socialstocksnow","321 536-3485",68015,849007,215,265623,NA,"Social Stocks Now",2012-06-18 14:48:03,FALSE,FALSE,"socialstocksnow","USA","en","611817117",1861,FALSE,"http://pbs.twimg.com/profile_images/826466349618601984/KTetTsa2_normal.jpg"
"ccrrpm","Nintendo Network ID: piguimon2            Playstation Network: piguimon2                                    Xbox Live: pgmon",4887,129,4066,280,NA,"Claudio Reyes",2011-06-07 21:18:44,FALSE,FALSE,"ccrrpm","Tijuana","es","312909892",14,FALSE,"http://pbs.twimg.com/profile_images/826239836055035906/e0hFy67Y_normal.jpg"
"igorfrolove1","",562,26,463,146,NA,"–≠–ª–ª–∞ –¢—É—Ä–∏—â–µ–≤–∞",2016-10-22 05:30:39,FALSE,FALSE,"igorfrolove1","","ru","789700473850830848",0,FALSE,"http://pbs.twimg.com/profile_images/822811503799705601/zsS9PMvd_normal.jpg"
"jaycov77","",395,7,165,124,NA,"Jason Covell",2017-02-06 13:22:44,FALSE,FALSE,"jaycov77","Grand Rapids, MI","en","828594780196261890",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png"
"komCaxUoZaoGhOK","",461,22,393,113,NA,"–î–∞—à–∞ –ò–≤–∞–Ω–æ–≤–∞",2017-01-24 17:15:43,FALSE,FALSE,"komCaxUoZaoGhOK","","ru","823942366784528384",0,FALSE,"http://pbs.twimg.com/profile_images/824659502893043712/sfGvIQu1_normal.jpg"
"mmcgarrett","Port Tobacco, MARYLAND -- SOUTH of MASON-DIXON LINE. #Deplorable #Conservative #Southerner #AlwaysTrump  #MAGA! [photo: https://t.co/vGgCkFR8ia, by 'kidphilly']",5519,1511,3609,2789,NA,"Mike_McGarrett",2009-06-20 21:48:38,FALSE,FALSE,"mmcgarrett","Port Tobacco, Maryland","en","49131160",53,FALSE,"http://pbs.twimg.com/profile_images/273644581/mdflag4_normal.jpg"
"iswanny3503","Sports Editor for @NWMSports and Reporter for @SJNPSports. Sports are my passion, God is my father -Isaiah 6:1-8",7515,829,5392,959,"https://t.co/FkQRoT0unJ","Isaiah Swann",2013-02-21 21:00:51,FALSE,FALSE,"iswanny3503","Maryville, MO","en","1206004778",5,FALSE,"http://pbs.twimg.com/profile_images/809773381667213312/ZFXEkqp8_normal.jpg"
"vamsi457","Full Stack Developer",9934,444,22,887,NA,"vamsi krishna depuri",2010-05-19 04:51:55,FALSE,FALSE,"vamsi457","Hyderabad, Andhra Pradesh","en","145517328",140,FALSE,"http://pbs.twimg.com/profile_images/634635341001940992/6GlmSbDT_normal.jpg"
"iajaero","BEAST MOD##",374,75,646,187,NA,"IKEMDIÌ†ΩÌ¥•Ì†ΩÌ¥•",2014-08-06 10:14:37,FALSE,FALSE,"iajaero","","en","2711690389",0,FALSE,"http://pbs.twimg.com/profile_images/832279895187324929/lwHSS3BP_normal.jpg"
"RtbMYZGpaq9rixx","",449,15,374,111,NA,"–ê–Ω–Ω–∞ –†—É–¥–µ–Ω–∫–æ",2017-01-24 10:18:41,FALSE,FALSE,"RtbMYZGpaq9rixx","","ru","823837416494612480",2,FALSE,"http://pbs.twimg.com/profile_images/824659132036870144/EYW9q604_normal.jpg"
"jbush93tx","I'm not like the otter ones",19671,829,14662,1778,NA,"JBush",2011-08-04 20:53:54,FALSE,FALSE,"jbush93tx","TWTX ‚úàÔ∏è SHSU","en","348687043",22,FALSE,"http://pbs.twimg.com/profile_images/828159266787831808/8r2vLAIS_normal.jpg"
"KyleLukan","Geek, Techpreneur, Social Media, Marketing & Digital Producer at BBDO.",53336,310,1,22,"http://t.co/3Tl5U34vmh","Kyle Lukan",2013-04-28 13:14:07,FALSE,FALSE,"KyleLukan","New York,, United States","en","1386918840",188,FALSE,"http://pbs.twimg.com/profile_images/3625199564/68e42bd2dea4ca955989f29702bcbcf7_normal.jpeg"
"Angelo_Fish","I never know what to put on these things",4890,526,3830,455,NA,"Fish",2011-11-16 01:32:30,FALSE,FALSE,"Angelo_Fish","The Woodlands Tx","en","413574709",7,FALSE,"http://pbs.twimg.com/profile_images/829143941001814018/Bueien1O_normal.jpg"
"Fercho1138","La hamburguesa me gusta sin jitomate.",59984,2495,14570,1953,NA,"Fercho Salinas",2011-04-26 17:48:49,FALSE,FALSE,"Fercho1138","No necesariamente aqu√≠. ","es","288343927",55,FALSE,"http://pbs.twimg.com/profile_images/832606122485960704/yVLkH7cM_normal.jpg"
"blastgamer11","Jakey with the good hair and a jawline for days. My nose is a dangerous weapon, don't make me use it on you. Lady Gaga & Kesha, ‚ôäÔ∏è & ‚ôãÔ∏è snapchat: jkmongerfish98",5343,538,17832,1518,NA,"TheFabulousJake Ì†ºÌºàÌ†ΩÌ≤ö",2012-07-24 16:18:43,FALSE,FALSE,"blastgamer11","Hungerford, England","en","714538531",9,FALSE,"http://pbs.twimg.com/profile_images/831242746866388993/NotZXUvd_normal.jpg"
"xshkidd","",45229,765,11626,151,NA,"ÂéüÂõ†",2014-04-05 09:30:40,FALSE,FALSE,"xshkidd","eliano‚ô°","fr","2462044816",11,FALSE,"http://pbs.twimg.com/profile_images/832264912437129216/pHMV0sY3_normal.jpg"
"JoshM_Jones","15 / GCSE Student / Disney and Lifestyle Blogger",3840,402,7352,532,"https://t.co/ukt5hMLPWA","Josh Ì†ΩÌ±®Ì†ºÌøª‚ÄçÌ†ΩÌ≤ª",2016-05-21 19:50:41,FALSE,FALSE,"JoshM_Jones","Peterborough, UK","en","734109176318820353",8,FALSE,"http://pbs.twimg.com/profile_images/827217715052044288/E0EhX13d_normal.jpg"
"yyzretweet","T Dot! Tweet #YYZ or #Toronto and get your message retweeted randomly!",34765,1178,7,841,NA,"YYZ Retweet",2013-11-20 10:06:36,FALSE,FALSE,"yyzretweet","Toronto","en","2204640854",137,FALSE,"http://pbs.twimg.com/profile_images/378800000769360814/34af3d219d12bc807d554c7d2e787607_normal.jpeg"
"Dreetoven","",27,305,6,69,NA,"Dre Savage ||  Âú®‰∫¨‰∏æ‰∏™",2015-06-01 03:16:45,FALSE,FALSE,"Dreetoven","","en","3232114224",0,FALSE,"http://pbs.twimg.com/profile_images/832678810487173120/YqY_coVO_normal.jpg"
"CarlosHectorAl6","TH√â PEACEMAKER work FOR UNITED NATION TO HELP WORLD PROJECTURES AND TO SECURED. OF STATE",9515,555,7091,3905,"https://t.co/2FFIRbjgo6","Carlos Hector Alvare",2016-06-04 15:59:18,FALSE,FALSE,"CarlosHectorAl6","Baldwin Park, CA","es","739124375362764800",22,FALSE,"http://pbs.twimg.com/profile_images/801548042449002496/zPPbdDsI_normal.jpg"
"igorkkgo","",1056,36,955,279,NA,"–õ–∏–∑–∞ –†–æ–º–∞–Ω–µ–Ω–∫–æ",2016-10-22 02:01:32,FALSE,FALSE,"igorkkgo","","ru","789647844647047168",2,FALSE,"http://pbs.twimg.com/profile_images/822811258122604545/ynDw30Xc_normal.jpg"
"HOLYDALLAS88","Sports Fanatic with a lil bit of ‚òï",3582,99,701,315,NA,"Lashawn",2014-01-06 19:56:26,FALSE,FALSE,"HOLYDALLAS88","","en","2279527968",10,FALSE,"http://pbs.twimg.com/profile_images/811959054398525440/gJrHQlR9_normal.jpg"
"Wiesinka","Jestem dziƒôki Bogu.",6032,44,14401,529,NA,"Wies≈Çawa",2014-01-02 18:06:57,FALSE,FALSE,"Wiesinka","Polska-Wielkopolska","pl","2273370397",1,FALSE,"http://pbs.twimg.com/profile_images/826543617334460416/CGcK00pV_normal.jpg"
"Patpalma27","Brand consultant strategist - Entrepreneur Follows & RT's are not endorsements. Univision es mi casa. Mis puntos de vista y mis tuits son mi responsabilidad‚ÄºÔ∏è",117585,2379,13097,1929,NA,"Patricia",2009-10-18 23:30:23,FALSE,FALSE,"Patpalma27","MiaMi FL - USA ‚úåÔ∏è","en","83472895",56,FALSE,"http://pbs.twimg.com/profile_images/832461605614940165/BKYfVPeF_normal.jpg"
"BeverlyWildman","Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏‚ù§DONALD TRUMP‚ù§Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏.           Pence-Hannity-Ingraham-O'Reilly-Judge Jeanine-Huckabee-Limbaugh-Wohl-#MAGA = ""MY LIFE""! ‚ù§Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏ I LOVE Fox News!",65,91,453,153,NA,"Beverly Wildman",2011-10-05 19:15:56,FALSE,FALSE,"BeverlyWildman","Georgia, USA","en","385584323",0,FALSE,"http://pbs.twimg.com/profile_images/831984875817283584/Qh4KGJ8j_normal.jpg"
"alexiordanov21","English 14 yr old gymnast livin' in France | Insta: AlexandraIordanov",53121,407,298,527,NA,"‚ú®Alexandra Iordanov‚ú®",2015-08-28 20:48:54,FALSE,FALSE,"alexiordanov21","","en","3473180655",14,FALSE,"http://pbs.twimg.com/profile_images/637668001001664512/uK--P5_d_normal.jpg"
"kokoeverett","",22455,813,38004,592,NA,"Robin Young",2015-06-04 04:37:48,FALSE,FALSE,"kokoeverett","California, USA","en","3235643742",38,FALSE,"http://pbs.twimg.com/profile_images/772934973737148416/HsxLJhj-_normal.jpg"
"TheAutoAdAgency","The Automotive Advertising Agency is a full service, multi-cultural ad agency which focuses on driving sales for automotive dealerships.  Led by @MarcoCamacho",547,371,103,404,"http://t.co/JNCYfzJX9e","The Auto Ad Agency",2013-04-10 04:55:24,FALSE,FALSE,"TheAutoAdAgency","Austin, Texas","en","1341016446",39,FALSE,"http://pbs.twimg.com/profile_images/745269124121530368/AlFsEBL9_normal.jpg"
"Lindaco74692732","Grandmother who wants America to be great again And believes President Trump will make it better. May God Bless America.",53325,587,65469,456,NA,"Lc4 America",2016-07-05 19:53:24,FALSE,FALSE,"Lindaco74692732","","en","750417311744421888",48,FALSE,"http://pbs.twimg.com/profile_images/813597219077001216/2DK-mO3w_normal.jpg"
"itsmostlysunny","Your Next Generation Influencer Marketing Agency.",133716,2433,2802,469,"https://t.co/5bcAmJPG6Y","MOSTLY SUNNY",2015-07-21 02:01:14,FALSE,FALSE,"itsmostlysunny","Los Angeles, CA     ","en","3286035865",208,FALSE,"http://pbs.twimg.com/profile_images/727563594200551424/fSwvhXBq_normal.jpg"
"atlan_media","A Digital Advertising Network for Ad Buyers & Publishers.  Desktop + Mobile + Applications. CPM + CPC. Upcoming IPO.",28283,5199,34,30,"https://t.co/ciXIFZZATD","Atlan Media",2016-02-25 04:36:46,FALSE,FALSE,"atlan_media","Sydney, Australia","en","702713825099788288",117,FALSE,"http://pbs.twimg.com/profile_images/703796176361926657/b2bTnBN6_normal.jpg"
"Minah_Souza","",19,7,124,90,NA,"Milena Souza",2017-02-16 16:27:20,FALSE,FALSE,"Minah_Souza","Divin√≥polis, Brasil","pt","832265112429948932",0,FALSE,"http://pbs.twimg.com/profile_images/832289121540440064/wolp_bwi_normal.jpg"
"vadimaalssav","",559,28,419,141,NA,"–ö—Å—é—à–∞ –ú–æ—Ä–æ–∑–æ–≤–∞",2016-10-22 07:00:49,FALSE,FALSE,"vadimaalssav","","ru","789723165043912704",0,FALSE,"http://pbs.twimg.com/profile_images/822811567586734085/LtrkZfmI_normal.jpg"
